fig_club,gesgolf_club,circolo_id,protected_live,scrape_status,ges_route_name,ges_holes_count,ges_total_par,ges_playable_kind,ges_route_status,ges_route_anomalies,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,suggested_score,suggested_reasons,final_fig_course_name,final_fig_source_external_id,final_relation,final_status,notes
Acaya,ACAYA,792,no,warning,2010 NON VALIDO,18,71,official_18,safe,,18 Buche Par 71,fig-course-acaya-18-buche-par-71,playable_course,low,40,same_holes_count|same_total_par,,,,needs_review,
Acaya,ACAYA,792,no,warning,2010 1-9 VALIDO,18,36,official_18,warning,par_total_anomaly_for_18,18 Buche Par 71,fig-course-acaya-18-buche-par-71,playable_course,low,20,same_holes_count,,,,needs_review,
Acaya,ACAYA,792,no,warning,2010 S.9 VALIDO,18,35,official_18,warning,par_total_anomaly_for_18,18 Buche Par 71,fig-course-acaya-18-buche-par-71,playable_course,low,20,same_holes_count,,,,needs_review,
Acaya,ACAYA,792,no,warning,2009 VALIDO,18,71,official_18,safe,,18 Buche Par 71,fig-course-acaya-18-buche-par-71,playable_course,low,40,same_holes_count|same_total_par,,,,needs_review,
Albisola,ALBISOLA,746,no,safe,18 buche PAR 64,18,64,official_18,safe,,18 Buche par 64,fig-course-albisola-18-buche-par-64,playable_course,high,85,same_holes_count|same_total_par|exact_name,,,,candidate_safe,
Albisola,ALBISOLA,746,no,safe,9 Buche par 32,9,32,base_9,safe,,9 Buche par 32,fig-course-albisola-9-buche-par-32,base_route,high,85,same_holes_count|same_total_par|exact_name,,,,candidate_safe,
Albisola,ALBISOLA,746,no,safe,18 Buche PAR 65,18,65,official_18,safe,,18 buche par 65,fig-course-albisola-18-buche-par-65,playable_course,high,85,same_holes_count|same_total_par|exact_name,,,,candidate_safe,
Albisola,ALBISOLA,746,no,safe,18 Buche PAR 66,18,66,official_18,safe,,18 buche par 66,fig-course-albisola-18-buche-par-66,playable_course,high,85,same_holes_count|same_total_par|exact_name,,,,candidate_safe,
Albisola,ALBISOLA,746,no,safe,9 buche par 33,9,33,base_9,safe,,9 buche par 33,fig-course-albisola-9-buche-par-33,base_route,high,85,same_holes_count|same_total_par|exact_name,,,,candidate_safe,
Alpino,ALPINO,39,no,warning,DE BLANC,18,69,official_18,safe,,18 Buche,fig-course-alpino-18-buche,playable_course,low,40,same_holes_count|same_total_par,,,,needs_review,
Alpino,ALPINO,39,no,warning,LE NOVE,18,35,official_18,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,Prime Nove,fig-course-alpino-prime-nove,playable_course,low,26,same_total_par|shared_tokens:nove,,,,needs_review,
Ambrosiano,AMBROSIANO,699,no,safe,Ambro 1,18,72,official_18,safe,,18 Buche,fig-course-ambrosiano-18-buche,playable_course,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Ambrosiano,AMBROSIANO,699,no,safe,1&#176; nove,9,36,base_9,safe,,Prime Nove,fig-course-ambrosiano-prime-nove,base_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Ambrosiano,AMBROSIANO,699,no,safe,2&#176; nove,9,36,base_9,safe,,Seconde Nove,fig-course-ambrosiano-seconde-nove,base_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Antognolla,ANTOGNOLLA,644,no,safe,Championship,18,71,official_18,safe,,18 buche,fig-course-antognolla-18-buche,playable_course,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Antognolla,ANTOGNOLLA,644,no,safe,first 9,9,36,base_9,safe,,Prime Nove,fig-course-antognolla-prime-nove,base_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Antognolla,ANTOGNOLLA,644,no,safe,second 9,9,35,base_9,safe,,Seconde Nove,fig-course-antognolla-seconde-nove,base_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Aosta Arsanieres,AOSTA ARSANIERES,105,no,warning,OLD C.,18,62,official_18,safe,,,,exclude_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Aosta Arsanieres,AOSTA ARSANIERES,105,no,warning,PR NOVE,18,31,official_18,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,,,exclude_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Aosta Arsanieres,AOSTA ARSANIERES,105,no,warning,Aosta 18 buche,18,62,official_18,safe,,18 Buche,fig-course-aosta-arsanieres-18-buche,playable_course,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Aosta Arsanieres,AOSTA ARSANIERES,105,no,warning,9 buche,9,31,base_9,safe,,9 Buche,fig-course-aosta-arsanieres-9-buche,base_route,benchmark_manual,manual,manual_benchmark_override,,,,needs_review,
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,W-BL,18,72,official_18,,,Championship Bianco/Blu,fig-course-parco-de-medici-championship-bianco-blu,combination_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,BL-R,18,72,official_18,,,King Blu/Rosso,fig-course-parco-de-medici-king-blu-rosso,combination_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,W-R,18,70,official_18,,,Queen Bianco/Rosso,fig-course-parco-de-medici-queen-bianco-rosso,combination_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,R-R,18,70,official_18,,,Est (Rosso x 2),fig-course-parco-de-medici-est-rosso-x-2,repeat_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,Red,18,35,official_18,,,9 Buche Bianco,fig-course-parco-de-medici-9-buche-bianco,playable_course,low,20,same_total_par,,,,needs_review,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,Est V-A,18,72,official_18,,,Blu/Bianco (Champ. Invertito),fig-course-parco-de-medici-blu-bianco-champ-invertito,alias_candidate,benchmark_manual_review,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,BL-W,18,72,official_18,,,Blu/Bianco (Champ. Invertito),fig-course-parco-de-medici-blu-bianco-champ-invertito,combination_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,9 Buche Bianco,9,35,base_9,,,9 Buche Bianco,fig-course-parco-de-medici-9-buche-bianco,base_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
Parco De' Medici,PARCO DE' MEDICI,112,yes,protected_reference,9 Buche Blu,9,37,base_9,,,9 Buche Blu,fig-course-parco-de-medici-9-buche-blu,base_route,benchmark_manual,manual,manual_benchmark_override,,,,protected_reference,protected_club_no_live_upsert
