fig_club,gesgolf_club,gesgolf_circolo_id,match_score,search_query
Acaya,ACAYA,792,100,acaya
Acquabona,,,,acquabona
Albisola,ALBISOLA,746,100,albisola
Alpino,ALPINO,39,100,alpino
Alta Badia,,,,alta badia
Ambrosiano,AMBROSIANO,699,100,ambrosiano
Antognolla,ANTOGNOLLA,644,100,antognolla
Aosta Arsanieres,AOSTA ARSANIERES,105,100,aosta arsanieres
Aosta Brissogne,AOSTA BRISSOGNE,819,100,aosta brissogne
Appiano - Golf & Country,,,,appiano
Archi Claudio,,,,archi claudio
Arenzano Pineta,ARENZANO PINETA,794,100,pineta
Argenta,ARGENTA,135,100,argenta
Argentario,ARGENTARIO,365,100,argentario
Arona,ARONA,289,100,arona
Arzaga,ARZAGA,744,100,arzaga
Asiago,ASIAGO,3,100,asiago
Asolo,ASOLO,219,100,asolo
Bagnaia,BAGNAIA,504,100,bagnaia
Barialto Golf,BARIALTO GOLF,808,100,barialto
Barlassina,BARLASSINA,669,100,barlassina
Bellosguardo,BELLOSGUARDO,343,100,bellosguardo
Bergamo Albenza,,,38,bergamo
Biella Betulle,BIELLA BETULLE,6,100,betulle
Bogliaco,BOGLIACO,7,100,bogliaco
Bogogno,BOGOGNO,659,100,bogogno
Bollina,BOLLINA,840,100,bollina
Bologna,BOLOGNA,8,100,bologna
Borgo Camuzzago,BORGO CAMUZZAGO,434,100,borgo camuzzago
Bormio Ssd,BORMIO SSD,825,100,bormio
Botanic Sa Cuba,,,,botanic sa
Boves,BOVES,660,100,boves
Brianza,BRIANZA,117,100,brianza
Ca' Amata,CA' AMATA,144,100,amata
Ca' Nave Ssd,CA' NAVE SSD,852,100,nave
Ca' Ulivi,CA' ULIVI,92,100,ulivi
Campodoglio,CAMPODOGLIO,701,100,campodoglio
Cansiglio,CANSIGLIO,9,100,cansiglio
Caorle,CAORLE,481,100,caorle
Carimate,CARIMATE,11,100,carimate
Casalunga,CASALUNGA,172,100,casalunga
Casentino,CASENTINO,85,100,casentino
Castelconturbia,CASTELCONTURBIA,68,100,castelconturbia
Castelfalfi,CASTELFALFI,678,100,castelfalfi
Castelgandolfo,,,,castelgandolfo
Castellaro,CASTELLARO,634,100,castellaro
Castello Spessa,CASTELLO SPESSA,80,100,spessa
Cavaglia',CAVAGLIA',681,100,cavaglia
Cerreto Miglianico,CERRETO MIGLIANICO,838,100,miglianico
Cervia,CERVIA,74,100,cervia
Cervino,CERVINO,508,100,cervino
Cherasco,CHERASCO,59,100,cherasco
Ciliegi,CILIEGI,209,100,ciliegi
Citta' D'Asti,CITTA' D'ASTI,336,100,asti
Claviere,CLAVIERE,13,100,claviere
Colli Bergamo,COLLI BERGAMO,742,100,bergamo
Colli Berici,COLLI BERICI,90,100,colli berici
Colline Gavi,COLLINE GAVI,732,100,gavi
Colombaro,COLOMBARO,308,100,colombaro
Colombera Asd,COLOMBERA ASD,824,100,colombera
Conero,CONERO,460,100,conero
