fig_club,review_status,top_candidate_1,top_candidate_1_id,top_candidate_1_score,top_candidate_2,top_candidate_2_id,top_candidate_2_score,search_queries
Acquabona,no_public_results,,,,,,,acquabona
Alta Badia,no_public_results,,,,,,,alta badia | badia | alta
Appiano - Golf & Country,no_public_results,,,,,,,appiano | appiano golf country
Archi Claudio,no_public_results,,,,,,,archi claudio | claudio | archi
Bergamo Albenza,weak_candidates_only,COLLI BERGAMO,742,38,,,,bergamo albenza | albenza | bergamo
Botanic Sa Cuba,no_public_results,,,,,,,botanic sa | cuba | botanic | botanic sa cuba
Castelgandolfo,no_public_results,,,,,,,castelgandolfo
Cosmopolitan,no_public_results,,,,,,,cosmopolitan
Fiuggi 1928,no_public_results,,,,,,,fiuggi 1928 | 1928 | fiuggi
Florinas,no_public_results,,,,,,,florinas
Forte Marmi,no_public_results,,,,,,,forte marmi | marmi | forte
Ggz - Zerman,no_public_results,,,,,,,ggz zerman | zerman | ggz
Hermitage,no_public_results,,,,,,,hermitage
Lauri,no_public_results,,,,,,,lauri
Livorno,no_public_results,,,,,,,livorno
Mare Di Roma,weak_candidates_only,PARCO ROMA,783,25,ROMA ACQUASANTA,36,25,mare di | roma | mare | mare di roma
Marigola,no_public_results,,,,,,,marigola
Marina Velka,no_public_results,,,,,,,marina velka | velka | marina
Metaponto,no_public_results,,,,,,,metaponto
Mirabella,no_public_results,,,,,,,mirabella
Punta Ala,weak_candidates_only,PUNTALDIA,129,,,,,punta ala | ala | punta
Rieti,no_public_results,,,,,,,rieti
Roncegno,no_public_results,,,,,,,roncegno
Salerno,no_public_results,,,,,,,salerno
San Donato,weak_candidates_only,SAN VALENTINO,789,38,SAN VIGILIO,441,38,san donato | donato | san
San Michele,weak_candidates_only,SAN VALENTINO,789,38,SAN VIGILIO,441,38,san michele | michele | san
Sappada,no_public_results,,,,,,,sappada
Sestrieres,no_public_results,,,,,,,sestrieres
Sicilia'S Picciolo,no_public_results,,,,,,,sicilia picciolo | picciolo | sicilia | sicilia s picciolo
Stupinigi,no_public_results,,,,,,,stupinigi
Tauriana,no_public_results,,,,,,,tauriana
Tirrenia,no_public_results,,,,,,,tirrenia
Valdichiana,no_public_results,,,,,,,valdichiana
Valpescara,no_public_results,,,,,,,valpescara
Verdura,no_public_results,,,,,,,verdura
Villa Giusti,weak_candidates_only,VILLA CONDULMER,49,38,VILLA CAROLINA SSD,833,25,villa giusti | giusti | villa
